#{"t_start": 1787343965.7168682, "env_id": "None"}
r,l,t
81.99708,337,308.840698
59.03726,313,309.325805
83.477973,328,309.850931
42.048649,341,310.671016
57.02203,313,311.154959
91.945608,354,311.731362
109.608327,345,312.576732
59.635975,367,313.120947
80.377253,397,314.03488
64.692895,378,314.650977
11.285152,281,315.078938
67.3144,363,315.894966
121.134858,318,316.390364
132.171612,288,316.830875
102.040531,321,317.32899
96.92899,342,318.139146
179.19384,295,318.600839
60.12119,281,319.022723
107.730713,274,319.737836
132.050774,279,320.160737
149.318735,267,320.590948
150.210165,287,321.035163
133.799167,280,321.796123
128.469618,363,322.330824
136.119421,331,322.83206
150.80764,316,323.710902
109.485395,313,324.273055
138.705441,296,324.735302
173.81793,301,325.451277
74.197284,354,325.990654
150.265509,308,326.450686
129.360488,374,327.340723
123.115788,333,327.840935
153.710555,383,328.422363
128.63991,284,329.123207
100.371355,341,329.640735
137.956846,282,330.062332
156.675356,359,330.855944
169.496086,321,331.34325
134.145368,340,331.843162
227.440017,438,332.76802
120.815926,350,333.30369
105.649737,341,333.820809
44.735892,290,334.554834
153.559246,425,335.213065
98.066617,347,335.74776
193.178308,360,336.631131
25.695243,253,337.022723
78.563914,295,337.467386
244.78683,549,338.672642
238.296412,371,339.314607
173.442275,362,339.856727
122.005886,306,340.597904
146.290762,382,341.163969
171.373153,366,341.710755
220.6099,383,342.58894
184.068201,339,343.096601
157.808806,391,343.95573
178.686817,393,344.561863
110.741235,363,345.151772
180.675164,360,346.034563
188.536323,358,346.588437
110.451995,316,347.069265
177.90607,343,347.89058
196.849661,367,348.439214
96.048183,316,348.923851
63.988427,360,349.759189
14.831583,258,350.139269
141.622136,327,350.618674
193.756405,352,351.434803
196.637574,365,351.991221
191.266125,367,352.540679
218.051227,424,353.582624
202.842032,490,354.438523
159.202371,322,354.950936
56.453486,267,355.647899
128.882497,323,356.144316
126.388985,359,356.678116
147.193634,330,357.450808
169.44386,340,357.961025
150.792792,311,358.427888
138.990712,329,359.215628
128.231468,357,359.740848
126.268976,335,360.239046
120.331364,339,361.028327
147.759267,391,361.60606
113.191542,280,362.019347
163.989974,366,362.846297
134.73923,297,363.281884
104.647615,247,363.656272
185.046731,400,364.54496
132.495099,308,365.003076
134.753474,284,365.430901
117.943851,478,366.485729
135.62568,300,366.949521
138.530363,288,367.377376
127.247248,290,368.099217
141.673788,309,368.611127
107.640103,292,369.045974
112.598125,277,369.455387
112.274605,284,370.179423
114.1814,296,370.627394
121.689464,294,371.064001
142.687746,321,371.81971
134.773405,346,372.347146
133.183399,323,372.835083
136.913915,327,373.630715
143.373763,328,374.137149
114.40804,330,374.635169
125.626458,337,375.151289
142.632698,357,375.986049
156.880562,335,376.4851
140.705792,313,376.954905
130.445085,353,377.825187
128.837694,330,378.31919
150.152763,322,378.806278
141.249425,330,379.574517
94.373612,371,380.136368
174.528271,402,381.046294
152.28557,372,381.608348
156.672015,397,382.200669
